"Easting","Northing","Latitude","Longitude","Family","Cover_Class","Number","Genus_species"
"609374.17 m E","3899996.75 m N","35° 14' 13.484""","-115° 47' 52.631""","Brassicaceae","Rock","1","Lepidium densiflorum"
"609437.50 m E","3899982.55 m N","35° 14' 12.999""","-115° 47' 50.132""","Solanaceae","Rock","1","Lycium andersonii"
"609448.36 m E","3899980.13 m N","35° 14' 12.916""","-115° 47' 49.704""","Solanaceae","Plant","1","Lycium andersonii"
"609470.24 m E","3899976.84 m N","35° 14' 12.800""","-115° 47' 48.840""","Solanaceae","Rock","1","Lycium andersonii"
"609431.73 m E","3899963.18 m N","35° 14' 12.372""","-115° 47' 50.370""","Solanaceae","Rock","1","Lycium andersonii"
"609437.48 m E","3899961.47 m N","35° 14' 12.314""","-115° 47' 50.143""","Solanaceae","Rock","1","Lycium andersonii"
"609437.48 m E","3899961.47 m N","35° 14' 12.314""","-115° 47' 50.143""","Solanaceae","Rock","1","Lepidium densiflorum"
"609437.48 m E","3899961.47 m N","35° 14' 12.314""","-115° 47' 50.143""","Boraginaceae","Rock","1","Cryptantha angustifolia"
"609444.59 m E","3899960.89 m N","35° 14' 12.293""","-115° 47' 49.862""","Boraginaceae","Rock","1","Cryptantha angustifolia"
"609444.59 m E","3899960.89 m N","35° 14' 12.293""","-115° 47' 49.862""","Solanaceae","Rock","3","Lycium andersonii"
"609447.97 m E","3899959.49 m N","35° 14' 12.246""","-115° 47' 49.729""","Asteraceae","Gravel","1","Baccharis salicina"
"609449.08 m E","3899958.62 m N","35° 14' 12.217""","-115° 47' 49.686""","Asteraceae","Rock","1","Baccharis salicina"
"609460.62 m E","3899959.86 m N","35° 14' 12.253""","-115° 47' 49.229""","Solanaceae","Gravel","2","Lycium andersonii"
"609423.29 m E","3899953.64 m N","35° 14' 12.066""","-115° 47' 50.708""","Cleomaceae","Rock","2","Sphaeralcea ambigua"
"609400.04 m E","3899964.46 m N","35° 14' 12.426""","-115° 47' 51.623""","Zygophyllaceae","Rock","1","Larrea tridentata"
"609379.10 m E","3899965.75 m N","35° 14' 12.476""","-115° 47' 52.451""","Asteraceae","Rock","2","Monoptilon bellidiforme"
"608878.96 m E","3899849.01 m N","35° 14' 8.884""","-115° 48' 12.290""","Polygonaceae","Live Plant","2","Eriogonum fasciculatum"
"608878.96 m E","3899849.01 m N","35° 14' 8.884""","-115° 48' 12.290""","Polygonaceae","Live Plant","2","Lycium andersonii"
"608879.65 m E","3899851.79 m N","35° 14' 8.974""","-115° 48' 12.262""","Asteraceae","Rock/gravel","2","Monoptilon bellioides"
"608882.57 m E","3899851.49 m N","35° 14' 8.963""","-115° 48' 12.146""","Polygonaceae","Gravel","3","Eriogonum inflatum"
"608878.98 m E","3899854.89 m N","35° 14' 9.074""","-115° 48' 12.287""","Asteraceae","Rock","2","Monoptilon bellioides"
"608878.98 m E","3899854.89 m N","35° 14' 9.074""","-115° 48' 12.287""","Brassicaceae","Rock","1","Lepidium densiflorum"
"608878.98 m E","3899854.89 m N","35° 14' 9.074""","-115° 48' 12.287""","Polygonaceae","Rock","5","Eriogonum inflatum"
"608878.98 m E","3899854.89 m N","35° 14' 9.074""","-115° 48' 12.287""","Cleomaceae","Rock","1","Sphaeralcea ambigua"
"608878.98 m E","3899854.89 m N","35° 14' 9.074""","-115° 48' 12.287""","Polemoniaceae","Rock","2","Gilia stellata"
"608887.58 m E","3899850.56 m N","35° 14' 8.931""","-115° 48' 11.949""","Malvaceae","Rock","2","Sphaeralcea ambigua"
"608886.77 m E","3899850.55 m N","35° 14' 8.931""","-115° 48' 11.981""","Polygonaceae","Rock","1","Eriogonum fasciculatum"
"608884.24 m E","3899833.43 m N","35° 14' 8.376""","-115° 48' 12.089""","Cactaceae","Rock","1","Echinocereus engelmannii"
"608884.24 m E","3899833.43 m N","35° 14' 8.376""","-115° 48' 12.089""","Malvaceae","Rock","2","Sphaeralcea ambigua"
"608888.38 m E","3899837.26 m N","35° 14' 8.499""","-115° 48' 11.923""","Cactaceae","Live Plant","1","Echinocactus polycephalus"
"608900.50 m E","3899866.35 m N","35° 14' 9.438""","-115° 48' 11.430""","Malvaceae","Rock/gravel","3","Sphaeralcea ambigua"
"608900.50 m E","3899866.35 m N","35° 14' 9.438""","-115° 48' 11.430""","Polygonaceae","Rock/gravel","6","Eriogonum inflatum"
"608900.50 m E","3899866.35 m N","35° 14' 9.438""","-115° 48' 11.430""","Brassicaceae","Rock/gravel","2","Lepidium densiflorum"
"608897.27 m E","3899877.30 m N","35° 14' 9.795""","-115° 48' 11.553""","Agavaceae","Live Plant","3","Yucca schidigera"
"608897.27 m E","3899877.30 m N","35° 14' 9.795""","-115° 48' 11.553""","Cactaceae","Live Plant","1","Ferocactus cylindraceus"
"608897.27 m E","3899877.30 m N","35° 14' 9.795""","-115° 48' 11.553""","Malvaceae","Live Plant","1","Sphaeralcea ambigua"
"608897.27 m E","3899877.30 m N","35° 14' 9.795""","-115° 48' 11.553""","Polygonaceae","Live Plant","2","Eriogonum inflatum"
"608897.27 m E","3899877.30 m N","35° 14' 9.795""","-115° 48' 11.553""","Boraginaceae","Live Plant","1","Pectocarya penicillata"
"608897.27 m E","3899877.30 m N","35° 14' 9.795""","-115° 48' 11.553""","Boraginaceae","Gravel","1","Cryptantha angustifolia"
"608897.27 m E","3899877.30 m N","35° 14' 9.795""","-115° 48' 11.553""","Cactaceae","Gravel","1","Cylindropuntia acanthocarpa"
"608897.27 m E","3899877.30 m N","35° 14' 9.795""","-115° 48' 11.553""","Asteraceae","Rock","1","Baccharis salicina"
"608922.87 m E","3899890.25 m N","35° 14' 10.205""","-115° 48' 10.534""","Malvaceae","Rock","2","Sphaeralcea ambigua"
"608916.18 m E","3899893.94 m N","35° 14' 10.327""","-115° 48' 10.797""","Asteraceae","Gravel","4","Baccharis salicina"
"608897.11 m E","3899852.67 m N","35° 14' 8.995""","-115° 48' 11.571""","Polygonaceae","Rock","2","Eriogonum fasciculatum"
"608903.44 m E","3899856.07 m N","35° 14' 9.103""","-115° 48' 11.319""","Polygonaceae","Gravel/sand","1","Eriogonum fasciculatum"
"608903.44 m E","3899856.07 m N","35° 14' 9.103""","-115° 48' 11.319""","Boraginaceae","Gravel/sand","1","Plagiobothrys jonesii"
"608903.44 m E","3899856.07 m N","35° 14' 9.103""","-115° 48' 11.319""","Malvaceae","Gravel/sand","1","Sphaeralcea ambigua"
"608914.78 m E","3899866.75 m N","35° 14' 9.445""","-115° 48' 10.865""","Malvaceae","Rock","1","Sphaeralcea ambigua"
